time,lat,long,alt,label,roty,rotz
time holder,-5.6411,-75.2905,18.1,ring,0,-24.6183
time holder,-5.8390,-74.8832,17.4,ring,0,-43.5433
time holder,-6.3636,-74.3435,15.8,ring,0,-38.0656
time holder,-6.5566,-74.1448,15.2,ring,-12.9644,-25.0982
time holder,-6.8646,-73.5904,21.3,ring,36.0963,-16.0610
time holder,-7.0770,-73.1374,15.4,ring,0,0
time holder,-6.8889,-72.3308,15.8,ring,17.404,41.5271
time holder,-6.6717,-72.0858,11.9,ring,3.9826,54.6486
time holder,-6.3890,-71.9313,8.0,ring,0,45.6418
time holder,-6.0950,-71.6880,8.0,ring,0,19.1641
time holder,-5.9225,-71.0056,8.2,ring,0,1.138
time holder,-5.8742,-70.6289,9.4,ring,0,0
time holder,-5.8390,-70.3797,9.4,ring,0,0
time holder,-5.8629,-70.1886,9.4,ring,0,0
