time,lat,long,alt,label,roty,rotz
time holder,35.7512,-113.4099,0.52275,ring,-22.345,5.7296
time holder,35.7510,-113.4018,0.52275,ring,0,0
time holder,35.7516,-113.3941,0.52275,ring,0,2.8648
time holder,35.7515,-113.3883,0.52275,ring,0,0
time holder,35.7551,-113.3835,0.52275,ring,0,0
time holder,35.7595,-113.3799,0.52275,ring,0,0
time holder,35.7636,-113.3740,0.51235,ring,0,0
time holder,35.7679,-113.3707,0.52275,ring,13.178,0
time holder,35.7711,-113.3661,0.52275,ring,13.178,0
time holder,35.7756,-113.3586,0.52275,ring,22.34353,0
time holder,35.7815,-113.3511,0.52275,ring,17.7617,0
time holder,35.7872,-113.3448,0.52275,ring,13.178,0
time holder,35.7940,-113.3385,0.52275,ring,40.107,0
time holder,35.8061,-113.3328,0.52275,ring,40.107,0
time holder,35.8148,-113.3312,0.52275,ring,40.107,0
time holder,35.8205,-113.3323,0.52275,ring,40.107,0
