time,lat,long,alt,label,roty,rotz
time holder,40.7762,-73.8793,0.0135517,ring,0,0
time holder,40.7765,-73.8793,0.0135517,ring,0,0
time holder,40.7769,-73.8793,0.0165698,ring,0,0
time holder,40.7773,-73.8793,0.0329926,ring,0,0
time holder,40.7786,-73.8793,0.1144147,ring,0,0
time holder,40.786,-73.8793,0.8745447,ring,0,0
time holder,40.8351,-73.8793,5.2003,ring,0,0
time holder,41.0703,-73.8793,26.4044,ring,0,0
time holder,42.4115,-73.8793,216,ring,0,0
time holder,48.4224,-73.8793,1037.624,ring,0,0
time holder,56.3225,-73.8793,1944.5004,ring,0,0
